UserId,SessionId,Duration,SessionSequence
04e44caa-5a9e-464e-ab0f-509b65ee1f77,9b1a3840-a1b6-40b2-9e07-6cc785aa1427,00:19:26,024767630
04e44caa-5a9e-464e-ab0f-509b65ee1f77,8d0e4502-4c79-452e-9a9b-142f1d317892,00:02:53,010
04e44caa-5a9e-464e-ab0f-509b65ee1f77,f2355d88-8241-4ccd-86d7-63619a6c9193,00:42:18,026767424767630
04e44caa-5a9e-464e-ab0f-509b65ee1f77,8047908e-783c-402a-b056-b683e5dbf7cd,00:20:55,01530
04e44caa-5a9e-464e-ab0f-509b65ee1f77,f861991c-c213-45d5-8ee5-a22ddd031321,00:47:07,0242620
04e44caa-5a9e-464e-ab0f-509b65ee1f77,1ad43a31-d0ab-42c4-806b-eafe0cb801d2,00:20:55,01530
04e44caa-5a9e-464e-ab0f-509b65ee1f77,81cd8d60-bd10-4863-8227-dc88aad55e5a,00:47:07,0242620
04e44caa-5a9e-464e-ab0f-509b65ee1f77,4df22c6c-cf4e-44d0-b557-5a8605629706,00:20:55,01530
04e44caa-5a9e-464e-ab0f-509b65ee1f77,23e5c4be-33b9-4c78-9af8-e3c3b0b1c372,00:47:07,0242620
04e44caa-5a9e-464e-ab0f-509b65ee1f77,7ba15d3e-f61e-4a7f-a7af-25df7e244b51,00:31:05,02420
04e44caa-5a9e-464e-ab0f-509b65ee1f77,0cb2c44c-b5d0-4d71-bb8e-87f811f5d8f8,00:21:32,03530
04e44caa-5a9e-464e-ab0f-509b65ee1f77,0e5e8f7f-3336-4687-a62f-4052c121126b,00:31:05,02420
04e44caa-5a9e-464e-ab0f-509b65ee1f77,3b95ad4a-7eb7-4eb7-9037-d64ce028bb41,00:21:32,03530
04e44caa-5a9e-464e-ab0f-509b65ee1f77,f2331da9-32de-44b7-ba21-e8841e7e2a0c,00:31:05,02420
04e44caa-5a9e-464e-ab0f-509b65ee1f77,85a84582-6631-41d6-bdc5-1d230a08521e,00:21:32,03530
04e44caa-5a9e-464e-ab0f-509b65ee1f77,f2712a1e-e85c-4201-9b33-ae70778354ad,00:01:31,010
04e44caa-5a9e-464e-ab0f-509b65ee1f77,b084fea1-276d-4635-95df-a004a9b79de8,00:07:32,030
04e44caa-5a9e-464e-ab0f-509b65ee1f77,75b1ff9a-29f4-420a-80d6-95010949b5c3,00:44:38,026762630
04e44caa-5a9e-464e-ab0f-509b65ee1f77,08743c46-a777-4589-856b-04832cc8a492,00:01:31,010
04e44caa-5a9e-464e-ab0f-509b65ee1f77,304f996f-6e6f-49dd-9409-7faedc642b42,00:07:32,030
04e44caa-5a9e-464e-ab0f-509b65ee1f77,b6afda04-68aa-4551-804a-b05661c2ac53,00:44:38,026762630
04e44caa-5a9e-464e-ab0f-509b65ee1f77,312b95ea-c8f7-4366-bb6c-b5d99d0253b8,00:01:31,010
04e44caa-5a9e-464e-ab0f-509b65ee1f77,51db6dda-f770-4222-ad5c-78cb1ac4fd94,00:07:32,030
04e44caa-5a9e-464e-ab0f-509b65ee1f77,8ac6b34d-7d40-4bd3-aa9b-48cf07519ea2,00:44:38,026762630
04e44caa-5a9e-464e-ab0f-509b65ee1f77,68f25143-d19e-4209-840b-7b251d808158,00:20:13,01535353510
04e44caa-5a9e-464e-ab0f-509b65ee1f77,124457dc-4c94-4835-9ca0-8ade8e63366d,00:09:06,010
04e44caa-5a9e-464e-ab0f-509b65ee1f77,45890b32-b484-4c6c-b152-9ac9dfd051fd,00:39:24,0242620
04e44caa-5a9e-464e-ab0f-509b65ee1f77,c95d332d-8337-4dd8-8b90-66a091c86a78,00:20:13,01535353510
04e44caa-5a9e-464e-ab0f-509b65ee1f77,28fcf181-d470-4b77-b321-bbea6a4bc88d,00:09:06,010
04e44caa-5a9e-464e-ab0f-509b65ee1f77,9f9f6c3a-b61a-442b-96d1-6d69e6a2252b,00:39:24,0242620
04e44caa-5a9e-464e-ab0f-509b65ee1f77,017b3738-3c33-4994-83a8-7b501570cf80,00:20:13,01535353510
04e44caa-5a9e-464e-ab0f-509b65ee1f77,d01ab9db-fdf5-4e68-9b04-97c08be380e4,00:09:06,010
04e44caa-5a9e-464e-ab0f-509b65ee1f77,e533d9c9-0a52-404d-a58e-a49d2c2d186f,00:39:24,0242620
04e44caa-5a9e-464e-ab0f-509b65ee1f77,f4ff7189-b9f3-4e4d-841c-96fbdf5d1103,00:13:39,03530
04e44caa-5a9e-464e-ab0f-509b65ee1f77,c8cc2d7e-febc-48ee-b393-28b9aaa72d36,01:00:56,02426767620
04e44caa-5a9e-464e-ab0f-509b65ee1f77,c2466aa0-a49c-4947-a065-e4a9a70fd2b8,00:13:39,03530
04e44caa-5a9e-464e-ab0f-509b65ee1f77,50a57a06-1edf-4459-bfcb-f05e68c35b7c,01:00:56,02426767620
04e44caa-5a9e-464e-ab0f-509b65ee1f77,9c5406d2-4146-46ac-babf-a8eceeb1d14c,00:13:39,03530
04e44caa-5a9e-464e-ab0f-509b65ee1f77,aa70f764-8ada-493c-8be6-47ee8b35af43,01:00:56,02426767620
04e44caa-5a9e-464e-ab0f-509b65ee1f77,e6c3fbea-243d-4059-be17-74c8423de12f,00:10:59,03530
04e44caa-5a9e-464e-ab0f-509b65ee1f77,5f5a410f-adfe-4b40-868b-4242b5f93962,00:35:21,024247635157620
04e44caa-5a9e-464e-ab0f-509b65ee1f77,3f0e18da-dc30-4b42-9453-25cf52b86c99,00:25:00,02620
04e44caa-5a9e-464e-ab0f-509b65ee1f77,9e4779c4-8571-4b73-938c-c3fcf5f007d4,00:10:59,03530
04e44caa-5a9e-464e-ab0f-509b65ee1f77,c3c31f9a-bd93-440e-a227-4079a574ce23,00:35:21,024247635157620
04e44caa-5a9e-464e-ab0f-509b65ee1f77,00a4ff08-c6cb-4e78-a489-47fb5badcceb,00:25:00,02620
04e44caa-5a9e-464e-ab0f-509b65ee1f77,2351e9d6-0f56-420b-b7a7-96aa72fb82b7,00:10:59,03530
04e44caa-5a9e-464e-ab0f-509b65ee1f77,969d8f17-54f4-4808-94d3-1253fca94f63,00:35:21,024247635157620
04e44caa-5a9e-464e-ab0f-509b65ee1f77,f1d129af-3cd6-40c6-b845-d0e2b25d936c,00:25:00,02620
04e44caa-5a9e-464e-ab0f-509b65ee1f77,78392500-c207-4f1d-a0ab-3558ca9b7b23,00:56:54,02626767424767530
04e44caa-5a9e-464e-ab0f-509b65ee1f77,5316dd74-a0ca-4000-afb3-f32b47867f9a,00:09:24,010
04e44caa-5a9e-464e-ab0f-509b65ee1f77,8278c016-ed24-4a58-9b62-cb3ff8919f4a,00:56:54,02626767424767530
04e44caa-5a9e-464e-ab0f-509b65ee1f77,dbe23c1f-f57b-4e7d-b934-c34fec0e19ae,00:09:24,010
04e44caa-5a9e-464e-ab0f-509b65ee1f77,1fe6ecdd-44fd-4c7c-83ec-26892c65da13,00:56:54,02626767424767530
04e44caa-5a9e-464e-ab0f-509b65ee1f77,da68948e-86d1-4c77-95ea-93aefc19ff5e,00:09:24,010
04e44caa-5a9e-464e-ab0f-509b65ee1f77,4f00871b-b55e-4a0c-8505-83da6b78469f,00:05:38,010
04e44caa-5a9e-464e-ab0f-509b65ee1f77,da32d447-47c7-4acd-99f8-3fc6a461812b,00:51:01,02424767424763510
059a04a5-b3fe-498f-800a-027a824f02bf,84fe9684-d612-477b-afef-72e44d874355,00:20:20,035353510
059a04a5-b3fe-498f-800a-027a824f02bf,a595c3ca-94d8-431e-be52-37fc823a7e23,00:08:46,030
059a04a5-b3fe-498f-800a-027a824f02bf,38ebd8f7-2681-40db-8efb-5d2d631555b7,00:04:45,03510
059a04a5-b3fe-498f-800a-027a824f02bf,abb2dd5e-9f01-478e-a06b-400b96860f9b,00:12:30,030
059a04a5-b3fe-498f-800a-027a824f02bf,146b7665-f79b-44f9-8a1d-8023f94a1f02,00:09:22,030
059a04a5-b3fe-498f-800a-027a824f02bf,4452f089-5ef3-49bf-90e4-86109183a33b,00:04:41,010
059a04a5-b3fe-498f-800a-027a824f02bf,7fb6d9ca-b7e4-4ac0-bc94-9adfb1c68992,00:16:08,030
059a04a5-b3fe-498f-800a-027a824f02bf,b95a8bef-9840-4333-a859-5b65da94be0c,00:32:48,020
059a04a5-b3fe-498f-800a-027a824f02bf,0b636433-08a7-43fc-b3ca-9ce4c2bcc507,00:04:41,010
059a04a5-b3fe-498f-800a-027a824f02bf,8f12a3f2-dfff-47d8-b143-90e73c74c8af,00:16:08,030
059a04a5-b3fe-498f-800a-027a824f02bf,78b70d54-fbe2-4525-8f82-303a02eac108,00:32:48,020
059a04a5-b3fe-498f-800a-027a824f02bf,29d14fb8-09d6-4b33-933a-36e047ccb389,00:04:41,010
059a04a5-b3fe-498f-800a-027a824f02bf,25ee6285-5130-4465-bcbc-3bdd26a8dab0,00:16:08,030
059a04a5-b3fe-498f-800a-027a824f02bf,54b22e02-87bf-45c4-acdf-0af050dc4e19,00:32:48,020
059a04a5-b3fe-498f-800a-027a824f02bf,d389e6a8-829b-4503-bdfe-92727e865dde,00:19:23,03530
